STRATA,CONTENT
垢神庙组,垢神庙组命名陕西区域地质调查大队，1982年命名；肖思云等，1988年介绍。垢神庙组特征下部含碳石英绢云千枚岩夹条纹状绢云石英千枚岩凸镜体；中部绢云碳质千枚岩夹粉砂岩凸镜体；上部灰紫色绢云石英千枚岩。下与石板河组整合接触，上与石盒子组不整合接触。厚76-626米。[1] 
龟山(岩)组,
合桐组,"合桐组，是以组为岩石地层单位的地层结构。广西区域地质测量大队1966年命名。为黑色碳质千枚岩，千枚岩夹变质砂岩。含微古植物等化石。下与白竹组、上与拱洞组均为整合接触。厚395米。隶属于丹洲群。合桐组命名广西区调队1966年命名(1∶20万融安幅地质调查报告) ，建组剖面位于广西三江县丹洲合桐村北西。合桐组沿革1966年命名后，该组划归板溪群。80年代初重新修订改用丹洲群。时代为新元古界。合桐组特征合桐组层型新层型 广西三江县丹洲乡胖脑剖面。广西区调队，1977，1∶5万三门、同列幅区调报告。合桐组构成本组下段为深灰色、灰绿色绢云千枚岩、绢云石英千枚岩夹变质砂岩、粉砂岩。下部所夹变质砂岩中含有下伏页岩的同生角砾，底面具槽模构造。上部新夹变质砂岩中往往夹有千枚岩及板岩，具鲍马序列，厚313m。上段：以深灰至黑色含炭质板岩（或千枚岩）为主， 夹少量绿色绢云石英千枚岩及变质砂岩，局部夹白云岩及砂砾岩透镜体。具斜层理及条带状构造。炭质板岩含黄铁矿。在龙胜三门一带中上部主要由细碧岩、角斑岩、中基性熔岩－集块岩、黑色千枚岩、大理岩、硅质大理岩、硅质岩等组成。含微古植物：Leiopsophosphaera sp., Brocholaminaria sp. 及 Leiominuscula sp.。其厚453m。本组厚度变化较大，合桐一带为800m，至龙胜、三门一带厚度可达2008m。厚度增大原因是火山岩以龙胜一带最为发育。[1] 合桐组接触关系下与白竹组、上与拱洞组均为整合接触。合桐组备考撰者:王自强作者：广西地质局区域地质测量队年份：1968系名：新元古界"
何家寨组,黄绿、紫红色页岩，灰色灰质泥岩、含叠层石灰岩、白云岩、泥质白云岩夹石英粉砂岩等。地层名称：何家寨组命名：王曰伦、王泽九等，1959年。层型：正层型 偃师佛光峪五佛山群何家寨组剖面。河南区测队，1964，1∶20万临汝幅区测报告。特征：黄绿、紫红色页岩，灰色灰质泥岩、含叠层石灰岩、白云岩、泥质白云岩夹石英粉砂岩等。下与骆驼畔组整合接触，上与红岭组或辛集组平行不整合接触。归五佛山群。分布：河南偃师。[1] 
河上镇群,为一套岩屑砂岩、粉砂质泥岩、泥岩和中基性熔岩、中酸性火山岩。与下伏双溪坞群及上覆志棠组均呈角度不整合接触。自下而上由骆家门组、虹赤村组和上墅组（井潭组（皖）、叶家组（赣））三个组组成。河上镇群命名浙江区域地质调查大队，1990年命名。河上镇群同物异名登山群。[1] 
横路冲组,横路冲组时代Pt3横路冲组命名湖南区域地质调查所唐晓珊，1988年命名。横路冲组特征为一套复成分砾岩、含砾砂岩、砂岩夹板岩。不整合于黄浒洞组之上、马底驿组之下。厚10-224米。 [1] 横路冲组同物异名沙坪组（段）、马底驿组二段。
红光组,特征为灰绿色、灰色片理化变质安山玄武玢岩质凝灰岩、千枚岩、板岩夹变质流纹斑岩质凝灰熔岩、绿帘阳起（二云）片岩等。整合覆于正沟组之上、伏于新兴组之下。厚度293-1069米。[1] 
红子溪组,红子溪组，是以组为岩石地层单位的地层结构。贵州地质局一零八队1974年命名；董卫平等1997年介绍。下部为紫灰、灰绿-浅灰色，中上部紫红与灰绿色相间。以粉砂质绢云板岩为主，夹变余砂岩、粉砂岩及少许大理岩凸镜体，底部为变质砾岩、砂砾岩。下与梵净山群不整合接触；上与清水江组（或鹅家坳组）整合接触。厚2315米。红子溪组命名贵州地质局一零八区调队1972年命名，1976年贵州省地层古生物工作队引用。命名剖面位于贵州江口县红子溪，参考剖面为江口快场和邓堡。红子溪组沿革命名剖面的红子溪组，原分为三个段，但由于该剖面顶部不全。随后贵州103队在红子溪南10km的快场和邓堡分别测了新的剖面，其顶底均全，并划分了若干组、段。但上述剖面构造复杂，新分组段难以利用，贵州省区域地质志综合红子溪和快场两个剖面重新厘定层序，并分两个段。红子溪组特征红子溪组层型正层型 贵州松桃冷家坝-红子溪红子溪组剖面。#副层型 贵州松桃快场-红子溪红子溪组剖面。红子溪组构成本组第一段主要为变质砾岩及砂砾岩，红子溪附近为含砾砂岩，厚5—50m。第二段为紫红、灰紫及灰绿等杂色绢云母板岩、粉砂质及砂质板岩互层，夹少量变余粉—细砂岩，偶夹变余凝灰岩，常见泥灰岩或泥晶大理岩小透镜体。底部灰绿色板岩时夹微薄层菱铁矿，中部紫红色板岩中偶有含铜矿物。本段厚约3974m。[1] 红子溪组接触关系下与梵净山群不整合接触，上与清水江组(或鹅家坳组)整合接触。红子溪组分布红子溪组仅分布于梵净山南东部，与湖南板溪群马底译层位相当且可对比。红子溪组备考撰者:王自强作者1：贵州省地古生物工作队地层组年份1：1976系名：新元古界
虹赤村组,"虹赤村组，是以组为岩石地层单位的地层结构。浙江区域地质测量大队，1975年命名。命名剖面位于浙江富阳县虹赤村。以灰紫、青灰、灰绿色中粗粒岩屑砂岩和长石岩屑砂岩为主，局部含细小石英砾石，底部常有冲刷面和泥砾。下与骆家门组平行不整合接触；上与上墅组连续沉积。层型剖面厚207米；区域厚77-311米。虹赤村组命名浙江区调队1975年诸暨幅1∶20万区测报告命名。命名剖面位于浙江富阳县虹赤村。虹赤村组沿革虹赤村组为浙西北前震旦系中变质较浅的地层。浙西北前震旦系研究始于本世纪20年代，曾将全部前震旦系变质岩统称为“倒水坞层”。1962年北京地质学院在进行1∶20万填图中（衢县幅），将开化油溪口一带的浅变质岩系命名为松木坞组。1965年浙江区调队在建德白沙发现一套不整合于震旦系之下的砂、泥质复理石建造，将其命名为白沙群。1970年又建立了“上墅组”，同时将前震旦系划分为下部钟吕群，上部双桥山群。1972年在萧山、富阳等地相当上墅组地层火山岩系之下，又发现一套硬砂岩、复理石及变质火山岩，将其命名为神功组。1975年随变质岩中不整面的发现，将神功组解体，在上墅组之下依次建立了虹赤村组、骆家门组和双溪坞群，一直沿用至今。虹赤村组特征虹赤村组层型正层型 浙江萧山桥头虹赤村组剖面。浙江区调队，1990，场口镇、河上镇幅1∶5万区调报告。虹赤村组构成本组为灰绿色、灰紫色块状含砾长石岩屑砂岩或杂砂岩夹少量中基性火山岩，属滨海相快速堆积的硬砂岩，厚约230m。本组中见有少量微古植物 Microconcentrica? Sp., Leiopsophosphaera solida, Trematosphaeridium sp.,T. Holtedahlii, Polyporata sp.。[1] 虹赤村组接触关系该组与下伏中元古界骆家门组呈假整合接触，与上覆的上墅组为连续过渡沉积。[1] 虹赤村组分布虹赤村组分布较为局限，主要见于富阳盛村—萧山河上及绍兴史家山、王家等地。虹赤村组备考撰者： 王自强作者1 ：浙江省地质局区测队年份1 ：1970系名 ：新元古界"
浒岭组,地层特征：以青灰、灰绿、灰黄色粉砂质千枚岩与绢云千枚岩为主，夹少量变余砂岩和粉砂岩，偶见紫灰、暗灰色含碳千枚岩，岩石中均含凝灰质。产微古植物等。上与神山组整合接触；下未见底层型剖面出露厚1847米；区域出露厚269-1847米以上。[1] 地层名称：浒岭组1991年命名，刘亚光等，1997年介绍。
花山组,花山组花山组[1]地层命名：北京地质学院、北京大学地质地理系，1959年命名；阎廉泉，1959年介绍。地层特征：主要由灰色、灰绿色、紫红色条纹状粉砂质板岩及变质含泥质硅质岩组成，夹有多层变质岩屑砂岩、变质砂岩及变质粉砂岩。中下部夹有变质砾岩凸镜体，夹玄武岩、细碧岩、中基性熔岩质岩屑凝灰岩。下与神农架群（打鼓石群）、上与莲沱组均呈不整合接触。厚度为207-1252米。[1] 花山组花山组[2]地层名称：花山组地层时代：Pt1地层命名：斋藤林次，1943年命名为花山层；1960年长春地院改称花山组。地层特征：下部为云母石英片岩、二云石英片岩，夹十字二云片岩和4层钙质大理岩；中部为黝帘二云片岩、二云石英片岩、磁铁二云片岩，夹3层钙质大理岩；上部以十字二云片岩为主，夹5层钙质大理岩。与下伏珍珠门组呈整合接触。厚4675米。 [1] 
淮河群,为一套碎屑岩-碳酸盐。含叠层石、蠕虫类、疑源类等化石。不整合在泰山群、凤阳群之上；平行不整合在金山寨组之下。自下而上分下亚群∶城山组、贾园组、赵圩组、倪园组、九顶山组、张渠组；上亚群：魏集组、史家组、望山组。淮河群名称淮河群淮河群时代Pt3淮河群命名苏皖震旦亚界专题组，1980年命名淮河系（载《中国震旦亚界》）；江苏区域地质调查大队，1984年介绍改称淮河群。淮河群同物异名宿县群、徐淮群。[1] 
黄狮洞组,黄狮洞组命名唐晓珊等，1992年命名；张纯臣等，1997年介绍。黄狮洞组特征灰色、紫灰色含灰岩团块的钙质板岩、粉砂质钙质板岩夹薄层灰岩。下与石桥铺组、上与砖墙湾组皆为整合接触。厚170-357米。[1] 黄狮洞组同物异名东冲组。
黄松群,地层名称：黄松群地层时代：Pt3地层命名：黑龙江第一区域地质测量大队杨耀宇、曲关生，1978年命名；黑龙江省地质矿产局张海驲等，1993年介绍。地层特征：为一套中浅变质岩系（片岩、变粒岩、千枚岩、大理岩等）。自下而上划分为：杨木组、阎王殿组。[1] 
火夹岭组,火夹岭组时代Pt3火夹岭组命名韩仲仁等，1994年命名；1998年介绍。火夹岭组特征为一套以紫红、黄绿、灰白等杂色薄层绢云千枚岩、砂质绢云千枚岩，夹少量中层变余不等粒岩屑杂砂岩、变余沉凝灰岩。微细水平层理发育。含微古植物化石。整合伏于上施组之下；覆于田东组之上。厚587米。[1] 
火烧尖组,火烧尖组，下部由粗砾岩-中砾岩-细砾岩-粗砂岩-粉砂岩时夹条纹白云岩的沉积旋回组成，底部有火山集块、碎屑、火山弹等；上部为厚层状叠层石泥质白云岩夹砂岩凸镜体。简介含叠层石。下与八里垭组整合接触；上与莲沱组呈不整合接触。厚880米。 [1] 
甲路组,"贵州区测队1962年。命名剖面位于贵州从江甲路以及梵净山西北侧的印江芙蓉坝。底部以变余砂砾岩为主，下部为石英绢云片岩、千枚岩夹变余砂岩；上部为含大理岩凸镜体的钙质绢云千枚岩。含叠层石。下与九龙群或梵净山群不整合接触；上与乌叶组整合接触。厚153-910米。甲路组命名1962年由贵州区调队命名，1970沿河幅1∶20万区域地质调查报告正式使用，命名剖面位于贵州从江甲路以及梵净山西北侧的印江芙蓉坝。甲路组特征甲路组层型正层型 贵州从江甲路村甲路组剖面。贵州区测队,1963,黔东地区前寒武系研究初步总结。甲路组构成该组划分为两个段，下段(第一段)在梵净山北西芙蓉坝地区为灰、灰紫、灰绿色变质砾岩及砂砾岩、变余砂岩。南部从江甲路地区为底部少量变质砾岩，下部变余砂岩、粉砂岩夹片岩及千枚岩，中、上部为千枚岩、片岩夹变余砂岩及粉砂岩，顶部偶见含Mn板岩等。上段(第二段)芙蓉坝地区为灰、深灰或紫灰色夹大理岩层的板岩，大理岩层中含叠层石;甲路一带为灰绿、浅灰色钙质千枚岩及片岩、千枚状板岩和大理岩。该组主要代表陆棚－陆坡相沉积，厚度变化大，芙蓉坝地区该组厚度2—52m，从江甲路地区为670—910m。[1] 甲路组接触关系该组下与九龙群或梵净山群不整合、上与乌叶组整合接触。[1] 甲路组备考撰者:王自强作者1：贵州省地质局108地质队年份1：1970系名：新元古界"
贾园组,"贾园组，以组为岩石地层单位的地层结构，江苏区域地质调查大队、安徽区域地质调查大队1976年命名。为灰、青灰色页状-薄层、中厚层粉砂质泥晶灰岩，夹少量泥质粉砂岩、泥岩、薄层（钙质）石英粉（细）砂岩、灰绿色页岩及叠层石灰岩凸镜体。主要分布于淮北、苏北，属淮河群。贾园组命名江苏区域地质调查大队、安徽区域地质调查大队，1976年命名。[1]  命名地点为江苏省邳县占城乡贾园村，命名剖面为邳县占城乡贾园剖面。组名首见于1978年出版的徐州幅1∶20万区测报告中。贾园组特征贾园组层型正层型江苏邳县占城乡贾园贾园组实测剖面,江苏区调队,1976,1∶20万徐州幅区调报告。贾园组构成本组岩性为灰、青灰色薄—中厚层砂灰岩、含云母砂质泥灰岩，波状微斜层理发育夹钙质石英细砂岩、粉砂岩、黄绿色页岩，顶部夹叠层石灰岩透镜体。含叠层石、微古植物等。下与城山组、上与赵圩组均为整合接触。本组厚度变化较大，至王埠被猴家山组超覆仅厚32m，在邳县占城一带厚度>690m。[1] 贾园组接触关系本组命名地点剖面均未见底，与下伏接触关系，依铜山县江座王埠距山剖面而定。贾园组产物贾园组叠层石本组含叠层石：Baicalia f.;贾园组微古植物微古植物: Leiopsophosphaera minor, Trachysphaeridium simplex, T. Cultum, Lophosphaeridium ichangense, Micrhystridium sp., Quadratimorpha sp.等。贾园组分布本组仅分布在江苏铜山、邳县及睢宁一带，在徐州至贾汪一带被寒武系超覆。贾园组备考撰者:尹崇玉作者1：江苏地质局区调队年份1：1978系名：新元古界"
架枧田组,特征灰色厚层块状细-中粒长石石英砂岩、长石石英杂砂岩夹薄层粉砂质板岩及凝灰质板岩。下与砖墙湾组、上与岩门寨组均为整合接触。厚252-543米。[1] 
金竹坪组,"金竹坪组为灰绿与灰紫色砂质板岩夹变余砂岩，上部为深灰色碳质板岩与灰-灰绿色绢云板岩夹变余砂岩。[1] 金竹坪组命名贵州地矿局区调所,1993年。金竹坪组正层型贵州省印江县金厂剖面—松桃乌罗金竹坪剖面金竹坪组特征下与芙蓉坝组、上与张家坝组均为整合接触。厚92-339米。"
巨甸(岩)群,钠长绢云（白）片岩、含黑云钠长绢云片岩、绢云石英千枚岩、绿泥钠长绢云片岩、二云石英片岩夹碳质板岩、绢云含长石英岩。巨甸（岩）群命名云南区域地质调查大队，1997年命名；云南区域地质调查大队，1∶50万数字地质图编图组，1998年介绍。巨甸（岩）群特征上与下奥陶统、下与石鼓（岩）群均为断层接触。[1] 
库里组,以灰绿、灰白、棕黄色绢云千枚岩、粉砂质绢云千枚岩或变细屑沉凝灰岩为主，夹少量灰黑色含碳质千枚岩、变余砂岩、硅质板岩及酸性熔岩等。库里组特征含微古植物等。上与上施组、下与神山组均为整合接触。层型剖面厚2425米；区域厚636- 3485米。 [1] 库里组同物异名白沙千枚岩。
拉拉沟(岩)组,拉拉沟（岩）组特征为一套含铁变粒岩系，以斜长角闪质岩、磁铁斜长角闪岩、角闪岩、透辉斜长变粒岩为主，少量浅粒岩、透辉石榴变粒岩及磁铁绿帘石岩系。原岩多是火山岩及火山碎屑岩。顶部为角闪透辉斜长片麻岩；未见底。出露厚度大于866米。拉拉沟（岩）组同物异名西保安组。[1] 
兰坑组,时代：Pt3命名：周国强、郑有铭，1993年命名；广东省地矿局，1996年介绍。特征：以石英云母片岩（绢云母千枚岩）、云母石英片岩为主，夹长石石英砂岩。中上部夹含磷灰石片岩、条带状磁铁矿层、含铁石英岩及白云质大理岩凸镜体、黄铁矿凸镜体。下与丰垌口组、上与沙湾坪组均为整合。厚647米。同物异名：牛辰坳组。[1] 
澜沧群,"澜沧群，是以群为岩石地层单位的地层结构。彭孝贤等1956年命名；云南区域地质测量大队1965年介绍。该群主要为片岩、千枚岩夹炭质、硅质岩、角闪片岩、石英角斑岩。含微古植物。总厚度>1500m。澜沧群命名澜沧江云南省地质局区测队1965年命名为澜沧群(1∶100万普洱幅地质图)。命名剖面位于澜沧县城周围及勐海、曼来、西定及打洛以北地区。澜沧群沿革澜沧江1916年英人布朗（J.C. Brown）将昌宁一带深变质岩称为结晶岩系，浅变质岩称为高良系。1942年宫景光、王超翔分别称为五台纪变质杂岩系和震旦纪高良系。1945年曾繁祁将澜沧县一带的变质岩分为太古代火成片麻岩、元古代水成片麻岩及片岩、震旦系板岩、千枚岩及石英砂岩。1958年云南踏勘队将本区浅变质岩列为昆阳群。云南地质局滇西南地质队划为前震旦纪。1961年云南省地质厅石油地质队一分队提出上述变质岩系属下古生界。1965云南区调队命名为澜沧群，时代为寒武纪。此后在70年出版的1∶20勐海幅地质图中将该区澜沧群进一步划分为阿克、巴夜、南勒、南木岭、勐井山、曼来、惠民、西定等8个组。1989—1991年编典者在滇西考查中，再次加以修正为西定、勐井山、曼来、斑炳寨、独水井及大窝岭等6个组，时代为新元古界。澜沧群特征澜沧群层型正层型 云南勐海县曼来组路线剖面澜沧群构成主要岩性为中基—中酸性火山碎屑岩，受到多期递进变形、变质作用可达高绿片岩相，鉴于原属该群中的惠民组，为逆冲于澜沧群之上的构造岩片，故应从澜沧群中剔除。澜沧群主要岩性包括有灰绿及黄绿色绢云片岩、绢云石英片岩、白云石英片岩、千枚岩等夹有炭质硅质岩、角闪片岩，石英角斑岩，总厚度>1500m。雷作祺、宋学良等曾于该群中获有微古植物Lophominuscula sp., Margominuscula verrucosa, Leiominuscula nimuta, Leiopsophosphyra minor, Bavlinella faveolata, Microconcentrica aff. Induplicata等。[1] 澜沧群接触关系澜沧江[1]不整合于其下的大勐龙群有(1438±17.7)Ma（Sm-Nd法等时线）的年龄值。澜沧群分布澜沧群(4张)主要分布于云南昌宁、凤庆习谦街、双江、上允、勐海曼来、西定等地，以曼来—西定地区最为发育。澜沧群备考撰者 ：王自强作者1 ：宫景光年份1 ：1942作者2 ：王超翔年份2 ：1942系名 ：新元古界"
里尔峪组,里尔峪组隶属于辽河群，为一套含硼岩系，由各种变粒岩、浅粒岩、镁橄榄白云大理岩和斜长角闪岩组成。含硼矿及磁铁矿。与上覆高家峪组及下伏浪子山组呈整合接触。里尔峪组命名辽宁区测队，1973年命名。里尔峪组特征层型：正层型 辽宁海城市桦子峪镇里尔峪村北约1km山脊剖面。分布：辽东、吉林南部海城、通化等地。里尔峪组备考备注：同物异名：同物异名 南辽河群等。
柳坪(岩)组,顶部为薄层白云石英片岩，之下为大理岩、磷灰岩夹白云石英片岩、含石墨白云石英片岩，底部为白云石英片岩夹磷灰岩、大理岩凸镜体。上与大新屋（岩）组整合、下与浦河杂岩断层接触。层型剖面出露厚度117米；区域厚度205-363米。柳坪（岩）组时代Pt3柳坪（岩）组命名安徽地质局三一一队，1981年命名；李玉发等，1997年介绍。
隆里组,"隆里组，是以组为岩石地层单位的地层结构。赵化生等1963年命名。主要分布于黔东南一带，属下江群。分上下两段，与下伏之平略组整合接触。隆里组命名赵化生等，1963年命名；贵州108队，1965年介绍。命名剖面位于贵州锦屏隆里。隆里组沿革隆里组1962年建组时，原划分为三段，于1976年重新测制剖面时， 查明原第三段实为震旦系长安组，故予以剔除。1983年再次复查并进一步补充和修订。隆里组特征隆里组层型正层型 贵州锦屏县隆里村隆里组剖面,贵州地质局一?八队,1977,1∶20万黎平幅区调报告。隆里组构成灰-浅灰黄、灰绿色变余含砾不等粒砂岩变余粉-细砂岩与粉砂质板岩、绢云母板岩不等厚互层。下与下江群平略组、上与长安组均为整合接触。厚581-784米。本组分为两个段，第一段浅灰至灰色变余粉砂岩夹砂质板岩、粉砂质板岩及绢云母板岩，偶夹凝灰质板岩。变余砂岩及变余粉砂岩中有时含砾或砾岩透镜体。由北西往南东砂岩减少。天柱—从江一带一般厚度为600—800m，最小厚度为250m；榕江、三都、丹寨较厚，其厚度多在1000米左右，最厚可达2200m。第二段为浅灰绿、灰绿色绢云母板岩，粉砂质板岩夹少量变余粉—细砂岩，偶夹紫红色绢云板岩，板岩中常含绿泥石斑点，有时具滑塌成因的包卷层理和角砾构造。厚度为450—900m，具有由南东向北西增厚的趋势。本组微古植物丰富，有Leiopsophosphaera, Kildinella, Pseudozonosphaera, Trachysphaeridium等属。隆里组主要沉积特征显示为浅海陆源碎屑沉积为主，其中可能间有碎屑流沉积。隆里组接触关系隆里组与下伏之平略组整合接触。雪峰运动或晋宁运动在这里的表现，尚需进一步研究。隆里组分布隆里组与平略组一样，仅分布于天柱—丹寨一线东南和黎平—从江一线西北的雷公山小区。[1] 隆里组备考撰者：王自强作者1：贵州省地质局108地质队年份1：1965系名：新元古界"
栾川群,"地层名称：栾川群地层名称（英文）：Luanchuan Gr地层单位编码：06-41-0141地层地质年代：Pt3特征：自下而上分为白术沟组、三川组、南泥湖组、煤窑沟组、大红口组、鱼库组六个组。为一套浅变质碎屑岩—碳酸盐岩组合。栾川群栾川群-命名：河南地研所,1962年。栾川群栾川群-特征：层型：下与冯家湾组为整合或平行不整合接触；其上多为断层破坏，或与大红口组（次火山岩）为喷发不整合（侵入）接触，局部见三岔口组平行不整合覆盖。分布：豫、陕。栾川群栾川群-参考资料中国岩石地层单位数据库"
罗平山(岩)组,罗平山（岩）组[1] 上部为白云质灰岩夹绢云石英片岩；中部为绢云石英片岩夹变质长石杂砂岩及绢云千枚岩；下部为绢（白）云片岩或千枚岩夹含碳质千枚岩。与上覆、下伏地层均呈断层接触。罗平山（岩）组中文名称罗平山（岩）组罗平山（岩）组命名云南地矿局第三地质大队区域地质调查一分队，1995年手稿命名，云南地勘局1∶50万数字地质图编图组，1998年介绍。
骆家门组,"骆家门组，是以组为岩石地层单位的地层结构。 1975年浙江区调队命名（1∶20万诸暨幅地质调查报告）。本组底部为灰绿色块状砾岩，下部为砂砾岩、含砾中粗粒砂岩及条带状中粒砂岩夹酸性火山岩；中部由灰色粉砂质泥岩、泥岩及硅质泥岩组成复理石韵律层，夹沉凝灰岩；上部为细砂粉砂岩与泥岩组成复理石韵律层。与下伏中元古界双溪坞群呈不整合。顶部为虹赤村组硬砂岩呈假整合覆盖。分布于浙江西北区。骆家门组命名1975年浙江区调队命名（1∶20万诸暨幅地质调查报告）。命名剖面位于浙江富阳县骆家门村。骆家门组沿革浙西的变质岩研究，始于20年代，统称前震旦系或“倒水坞层”。1962年北京地质学院进行1∶20万区域地质调查时，将开化一带的浅质岩命名为“松木坞组”。1965年浙江区调队于建德白沙见有一套与松木坞组相当的砂、泥质复理石建造，称之为“白沙群”。1970年1∶20万衢县幅地质调查报告中，将前震旦系自上而下划分出上墅组、双娇山群、钟吕群，但将上墅组置于下震旦统。1975年1∶20万诸暨幅地质调查报告中，将原变质岩系自上而下划分上墅组、虹赤村组、骆家门组和双溪坞群，但时代划分上却将上墅组与虹赤村组置于震旦系。1989年《浙江区域地质志》重新厘定了时代归属，骆家门组、虹赤村组及上墅组，均为青白口系。骆家门组特征骆家门组层型正层型 浙江富阳神功村—骆村骆家门组剖面。浙江区调队,1990,1∶5万场口镇幅、河上镇幅区调报告。骆家门组构成本组底部为灰绿色块状砾岩，下部为砂砾岩、含砾中粗粒砂岩及条带状中粒砂岩夹酸性火山岩；中部由灰色粉砂质泥岩、泥岩及硅质泥岩组成复理石韵律层，夹沉凝灰岩；上部为细砂粉砂岩与泥岩组成复理石韵律层。往南至浦江附近见有基性火山碎屑岩、细碧岩等火山岩夹层。总厚1920m。粉砂岩中含微古植物: Pseudozonosphaeridium sp., Nucellosphaeridium sp., Margominuscula rugosa, Turuchanica ?sp., Granomarginata prima等。骆家门组接触关系与下伏中元古界双溪坞群呈不整合。顶部为虹赤村组硬砂岩呈假整合覆盖。骆家门组分布浙江西北区骆家门组备考撰者：王自强作者1：浙江省地质局区测队年份1：1975系名 新元古界"
马槽园群,马槽园群主要由白云质砾岩组成，夹有白云质砂岩、碳质白云质粉砂岩，顶部为白云岩，含火山碎屑。马槽园群中文名称马槽园群马槽园群特征从下至上包括下部八里垭组和上部火烧尖组。下与神农架群不整合接触；上与莲沱组微角度不整合接触。[1] 
马底驿组,"湘、桂、黔三省（区）前寒武纪工作组，1962年命名于沅陵马底驿。 紫红色粉砂质板岩、绢云板岩、含灰岩条带或灰岩团块之板岩夹灰绿色板岩、粉砂岩。下与横路冲组、上与通塔湾组均为整合接触。分布于湖南、四川。马底驿组命名湖南地质局湘、黔、桂前寒武系地层工作组1962年命名，1974年《中南地区区域地层表》正式发表。命名剖面为湖南沅陵县马底驿村南。马底驿组沿革1936年王晓青等在益阳县西南(现属桃江县)的板溪村命名“板溪系”。1958年湖南413队发现板溪系中有不整面，并将该面以上的地层称板溪群。1962年黔、湘、桂前寒武系地层工作组将不整合面以上地层称为上板溪群，进而划分了地层分区，其中北区的板溪群，分别建立了马底驿组和五强溪组。其时代均属新元古界。(有人主张五强溪组和马底驿组均系震旦系)。马底驿组特征马底驿组层型选层型 湖南芷江县渔溪口马底驿组实测剖面。湖南区测队,1974,1∶20万芷江幅区调报告。马底驿组构成底部为不整合于冷家溪群之上的紫红色及少量灰白色厚层块状变质砂砾岩、含砾砂岩、石英粗粒砂岩等粗碎屑岩为主，向上变为紫红色及少量灰绿色的中—厚层浅变质中一细粒石英砂岩、长石石英砂岩、岩屑砂岩粉砂岩及砂质板岩、板岩等。 上述岩石组成厚度不等的韵律，向上细碎屑岩及泥质逐渐增多，在韵律中出现的次数越加频繁。顶部与五强溪组灰色砂砾岩呈假整合接触。其沉积特征属陆棚—陆坡过渡的沉积相组合。本组厚约200m。[1] 马底驿组含微古植物Orygmatosphaeridium exile, O. Rubiginosum, Leiopsophosphaera solida, Asperatopsophospaera bavlensis, A. Umishanensis, Trachysphaeridium cultum。马底驿组备考撰者 ：王自强作者1 ：王晓青年份1 ：1936系名： 新元古界"
马家街群,马家街群，主要为深灰色千枚状含红柱石碳质板岩，灰色含红柱石（石榴石）碳质千枚岩，黄褐色十字（二云）白云片岩夹多层结晶灰岩，大理岩，斜长角闪片岩，石英片岩，变质长石石英砂岩等。厚2555米以上。[1] 马家街群时代Pt3马家街群命名徐衍强，1959年命名为马家街组；黑龙江区域地层表编写组，1979年介绍。
曼来组,时代：Pt3命名：云南区域地质调查大队，1979年命名。特征：为灰色，灰绿色变质泥质粉砂岩和泥质岩互层，夹少量薄层变质基性凝灰岩凸镜体及条纹条带状磁铁矿。风化露头变为灰，红，褐，紫等杂色。下与勐井山组，上与惠民组均为整合接触。厚1065米。同物异名：勐满组。[1] 
梅家山(岩)群,梅家山（岩）群，1998年由云南地勘局命名梅家山（岩）群基本信息梅家山（岩）群中文名称梅家山（岩）群梅家山（岩）群时代Pt3 [1] 梅家山（岩）群命名云南地勘局1∶50万数字地质图编图组秦德厚等，1998年命名。[1] 梅家山（岩）群特征为一套浅变质碎屑岩及碳酸盐岩。本组底部未出露，其顶部与上石炭统空树河组呈断层接触。[1] 
煤窑沟组,
勐井山组,由云南区域地质调查大队命名。特征：上部为绢云石英片岩，绢云片岩，顶部夹一层凸镜状变基性熔岩和磁铁矿；下部为绢云石英片岩或片状石英岩。底，顶分别与南木岭组，曼来组整合接触。厚787米。特征上部为绢云石英片岩，绢云片岩，顶部夹一层凸镜状变基性熔岩和磁铁矿；下部为绢云石英片岩或片状石英岩。底，顶分别与南木岭组，曼来组整合接触。厚787米。[1] 
南坑河组,"浅灰色不等粒变石英砂岩、石英微晶片岩夹绢英片岩、千枚岩。含微古植物等。不整合伏于花开左组之下；与下伏惠民组整合接触。厚1086米。南坑河组名称南坑河组南坑河组命名云南区调队,1979年。南坑河组正层型云南澜沧县南坑河剖面。云南区调队二分队,1979年,1∶20万景洪幅区调报告。南坑河组特征浅灰色不等粒变石英砂岩、石英微晶片岩夹绢英片岩、千枚岩。不整合于花开左组之下,与下伏惠民组整合接触。[1] "
南木岭组,"地层名称：南木岭组地层名称（英文）：Nanmuling Fm地层单位编码：06-53-1386地层地质年代：Pt3命名：云南区调队五分队，1979年，1∶20万勐海幅区调报告。层型：正层型 云南勐海县西定—南勒剖面。文献同上。特征：灰黑色碳质石英片岩和夹石英片岩的碳质层。与上覆勐井山组为整合接触;底因断层破坏,不完整。分布：云南勐海南木岭一带。[1] "
